gene_synonym	gene_name
ST3GAL4-AS1	GSEC
EFCAB4B	CRACR2A
C12orf5	TIGAR
LEPREL2	P3H3
KLRAP1	KLRA1P
KIAA1467	FAM234B
C12orf36	LINC01559
HIST4H4	H4-16
H2AFJ	H2AJ
LYRM5	ETFRF1
IFLTD1	LMNTD1
ASUN	INTS13
METTL20	ETFBKMT
H3F3C	H3-5
KIAA1551	RESF1
H1FNT	H1-7
SNORA34	SNORA2C
LINC00935	TEX49
TENC1	TNS2
ATP5G2	ATP5MC2
WIBG	PYM1
ATP5B	ATP5F1B
TMEM194A	NEMP1
MARCH9	MARCHF9
METTL21B	EEF1AKMT3
FAM19A2	TAFA2
C12orf61	LINC01465
TMEM5	RXYLT1
LINC00936	ATP2B1-AS1
C12orf79	LINC01619
NUDT4P1	NUDT4B
CEP83-AS1	CEP83-DT
CCDC53	WASHC3
GNN	TTC41P
KIAA1033	WASHC4
MTERFD3	MTERF2
FAM109A	PHETA1
CCDC42B	CFAP73
CCDC64	BICDL1
GCN1L1	GCN1
DYNLL1-AS1	NRAV
SETD8	KMT5A
FAM101A	RFLNA
GPR133	ADGRD1
N6AMT2	EEF1AKMT1
C1QTNF9B-AS1	PCOTH
NUPL1	NUP58
PDX1-AS1	PLUT
ATP5EP2	ATP5F1EP2
B3GALTL	B3GLCT
MINOS1P1	MICOS10P1
SPG20	SPART
SPG20OS	SPART-AS1
LHFP	LHFPL6
LINC00284	NRAD1
SPERT	CBY2
KIAA0226L	RUBCNL
LINC00441	RB1-DT
LINC00371	C13orf42
LINC00282	TMEM272
LECT1	CNMD
IRG1	ACOD1
RNF219-AS1	OBI1-AS1
RNF219	OBI1
DOCK9-AS2	DOCK9-DT
KDELC1	POGLUT2
CARKD	NAXD
LINC00403	SOX1-OT
GAS6-AS2	GAS6-DT
TMEM55B	PIP4P1
C14orf164	RNF212B
C14orf23	LINC01551
KIAA0391	PRORP
RALGAPA1P	RALGAPA1P1
CTAGE5	MIA2
FAM179B	TOGARAM1
C14orf182	LINC01588
C14orf183	LINC01599
ATP5S	DMAC2L
C14orf166	RTRAF
ERO1L	ERO1A
C14orf105	CCDC198
C14orf37	ARMH4
PCNXL4	PCNX4
LINC00238	CCDC196
KIAA0247	SUSD6
PCNX	PCNX1
C14orf169	RIOX1
CCDC176	BBOF1
C14orf1	ERG28
LRRC74	LRRC74A
C14orf159	DGLUCY
SMEK1	PPP4R3A
LINC00341	SYNE3
C14orf64	LINC01550
WARS	WARS1
APOPT1	COA8
C14orf2	ATP5MPL
ADSSL1	ADSS1
C14orf79	CLBA1
C14orf80	TEDC1
DPH6-AS1	DPH6-DT
C15orf53	LINC02694
C15orf52	CCDC9B
C15orf57	CCDC32
CASC5	KNL1
EIF3J-AS1	EIF3J-DT
C15orf43	TERB2
SQRDL	SQOR
DYX1C1-CCPG1	DNAAF4-CCPG1
DYX1C1	DNAAF4
FAM63B	MINDY2
NARG2	ICE2
FAM96A	CIAO2A
KIAA0101	PCLAF
PTPLAD1	HACD3
VWA9	INTS14
LINC00277	EWSAT1
GRAMD2	GRAMD2A
C15orf59	INSYN1
C15orf27	TMEM266
KIAA1024	MINAR1
C15orf37	ST20-AS1
LINC01314	CTXND1
MESDC2	MESD
MESDC1	TLNRD1
C15orf26	CFAP161
FAM154B	SAXO2
FAM103A1	RAMAC
HDGFRP3	HDGFL3
EFTUD1P1	EFL1P1
LINC00925	MIR9-3HG
C15orf38-AP3S2	ARPIN-AP3S2
TTLL13	TTLL13P
LINS	LINS1
VIMP	SELENOS
TARSL2	TARS3
ITFG3	FAM234A
C16orf13	METTL26
FAM195A	MCRIP2
FAM173A	ANTKMT
NARFL	CIAO3
CRAMP1L	CRAMP1
C16orf59	TEDC2
TCEB2	ELOB
CCDC64B	BICDL2
SEPT12	SEPTIN12
FAM86A	EEF2KMT
MKL2	MRTFB
C16orf62	VPS35L
CCDC101	SGF29
CDIPT-AS1	CDIPTOSP
FAM57B	TLCD3B
SEPT1	SEPTIN1
C16orf93	CCDC189
C16orf98	PYCARD-AS1
PAPD5	TENT4B
GPR114	ADGRG5
GPR56	ADGRG1
GPR97	ADGRG3
CCDC135	DRC7
C16orf80	CFAP20
SNORA76A	SNORA50A
CTD-2258A20.5	BEAN1-AS1
CCDC79	TERB1
FAM96B	CIAO2B
FAM65A	RIPOR1
RLTPR	CARMIL2
AARS	AARS1
FUK	FCSK
MTSS1L	MTSS2
C16orf47	ZFHX3
KARS	KARS1
BCMO1	BCO1
TLDC1	MEAK7
C16orf3	GAS8-AS1
FAM57A	TLCD3A
RNMTL1	MRM3
TUSC5	TRARG1
GSG2	HASPIN
C17orf85	NCBP3
FAM64A	PIMREG
MIR4520A	MIR4520-1
MIR4520B	MIR4520-2
C17orf59	BORCS6
WDR16	CFAP52
MAGOH2	MAGOH2P
LINC00675	TMEM238L
LRRC75A-AS1	SNHG29
FAM106CP	FAM106C
LRRC48	DRC3
HP08942	LINC01563
C17orf103	NATD1
C17orf51	LINC02693
FAM27L	FAM27E5
PPY2	PPY2P
SGK494	RSKR
NARR	RAB34
LEPREL4	P3H4
PTRF	CAVIN1
FAM134C	RETREG3
LINC00854	CCDC200
C17orf105	CFAP97D1
C17orf104	MEIOC
ATP5G1	ATP5MC1
HILS1	H1-9
LINC00483	ANKRD40CL
BZRAP1	TSPOAP1
BZRAP1-AS1	TSPOAP1-AS1
SEPT4	SEPTIN4
C17orf47	SEPTIN4
MARCH10	MARCHF10
SNORA76C	SNORA50C
PLEKHM1P	PLEKHM1P1
ICT1	MRPL58
ATP5H	ATP5PD
KIAA0195	TMEM94
H3F3B	H3-3B
HP09025	LINC02078
BAIAP2-AS1	BAIAP2-DT
AATK-AS1	PVALEF
ENTHD2	TEPSIN
C17orf89	NDUFAF8
C17orf70	FAAP100
MAFG-AS1	MAFG-DT
HEXDC	HEXD
C17orf62	CYBC1
C18orf42	AKAIN1
C18orf64	LINC01387
SLC35G4P	SLC35G4
SLMO1	PRELID3A
C18orf8	RMC1
GAREM	GAREM1
ZNF271	ZNF271P
LINC00669	MIR924HG
ATP5A1	ATP5F1A
TCEB3CL2	ELOA3D
TCEB3B	ELOA2
CCDC11	CFAP53
NARS	NARS1
KIAA1468	RELCH
FAM69C	DIPK1C
PQLC1	SLC66A2
PPAP2C	PLPP2
LPPR3	PLPPR3
HMHA1	ARHGAP45
C19orf26	CBARP
ATP5D	ATP5F1D
C19orf24	FAM174C
C19orf35	PEAK3
AES	TLE5
CCDC94	YJU2
HDGFRP2	HDGFL2
C19orf10	MYDGF
C19orf70	MICOS13
EMR1	ADGRE1
EMR4P	ADGRE4P
C19orf45	TEX45
MARCH2	MARCHF2
C19orf82	ZNF561-AS1
ZNF812	ZNF812P
C19orf66	SHFL
FDX1L	FDX2
ILF3-AS1	ILF3-DT
C19orf52	TIMM29
C19orf80	ANGPTL8
LPPR2	PLPPR2
ZNF788	ZNF788P
C19orf43	TRIR
ASNA1	GET3
EMR3	ADGRE3
EMR2	ADGRE2
FAM129C	NIBAN3
KIAA1683	IQCN
C19orf60	REX1BD
MEF2BNB-MEF2B	BORCS8-MEF2B
MEF2BNB	BORCS8
ZNF724P	ZNF724
CTC-360P9.3	LINC01533
C19orf40	FAAP24
CEBPA-AS1	CEBPA-DT
C19orf55	PROSER3
HKR1	ZNF875
PAPL	ACP7
SELV	SELENOV
ADCK4	COQ8B
ATP5SL	DMAC2
PVRL2	NECTIN2
C19orf83	EML2-AS1
PNMAL1	PNMA8A
PNMAL2	PNMA8B
PRR24	INAFM1
GLTSCR1	BICRA
GLTSCR2	NOP53
SEPW1	SELENOW
C19orf68	ZSWIM9
ACPT	ACP4
SPACA6P	SPACA6
HCCAT3	ZNF350-AS1
SUV420H2	KMT5C
FAM150B	ALKAL2
TSSC1	EIPR1
LINC01105	SILC1
C2orf48	RRM2
PQLC3	SLC66A3
FAM84A	LRATD1
C2orf43	LDAH
C2orf44	WDCP
GAREML	GAREM2
GPR113	ADGRF3
EPT1	SELENOI
C2orf70	FAM166C
BRE-AS1	BABAM2-AS1
BRE	BABAM2
FAM179A	TOGARAM2
C2orf71	PCARE
C2orf61	STPG4
CCDC104	CFAP36
SMEK2	PPP4R3B
AHSA2	AHSA2P
ALMS1P	ALMS1P1
REG1P	REG1CP
LINC00152	CYTOR
LINC01125	C2orf92
LINC01158	PANTR1
C2orf40	ECRG4
SEPT10	SEPTIN10
LINC00116	MTLN
MIR4435-1HG	MIR4435-2HG
PCDP1	CFAP221
TISP43	PRSS40A
WTH3DI	RAB6D
DARS	DARS1
MARCH7	MARCHF7
ZAK	MAP3K20
MLK7-AS1	MAP3K20-AS1
ATP5G3	ATP5MC3
KIAA1715	LNPK
DFNB59	PJVK
SSFA2	ITPRID2
TMEM194B	NEMP2
SDPR	CAVIN2
SGOL2	SGO2
ALS2CR12	FLACC1
ALS2CR11	C2CD6
PKI55	LINC01963
MARCH4	MARCHF4
RQCD1	CNOT9
CCDC108	CFAP65
FAM134A	RETREG2
C2orf57	TEX44
ALPPL2	ALPG
C2orf82	SNORC
FAM132B	ERFE
MYEOV2	COPS9
CAPN10-AS1	CAPN10-DT
C2orf54	MAB21L4
MTERFD2	MTERF4
C20orf196	SHLD1
PAK7	PAK5
LINC00493	SMIM26
C20orf26	CFAP61
FRG1B	FRG1BP
MMP24-AS1	MMP24OS
LINC00657	NORAD
TGIF2-C20orf24	TGIF2-RAB5IF
C20orf24	RAB5IF
OSER1-AS1	OSER1-DT
C20orf62	LINC01620
WISP2	CCN5
LINC01272	SMIM25
FAM65C	RIPOR3
RTFDC1	RTF2
APCDD1L-AS1	APCDD1L-DT
ATP5E	ATP5F1E
SLMO2	PRELID3B
C20orf166-AS1	MIR1-1HG-AS1
C20orf166	MIR1-1HG
C20orf195	FNDC11
LINC00176	C20orf204
MIR3648	MIR3648-1
MIR8069	MIR8069-1
C21orf15	CYP4F29P
LINC00478	MIR99AHG
C21orf37	LINC01549
ATP5J	ATP5PF
C21orf119	URB1-AS1
C21orf59	CFAP298
C21orf54	LINC01548
IL10RB-AS1	IL10RB-DT
ATP5O	ATP5PO
SMIM11	SMIM11A
C21orf140	FAM243A
DOPEY2	DOP1B
DSCR3	VPS26C
BRWD1-IT2	BRWD1-AS2
WRB	GET1
C21orf88	B3GALT5-AS1
C21orf128	UMODL1-AS1
C21orf33	GATD3A
C21orf2	CFAP410
LRRC3-AS1	LRRC3-DT
C21orf90	TSPEAR-AS2
C21orf67	LINC01547
LINC00162	PICSAR
CECR6	TMEM121B
CECR5	HDHD5
CECR5-AS1	HDHD5-AS1
CECR1	ADA2
DGCR14	ESS2
UFD1L	UFD1
SEPT5	SEPTIN5
C22orf29	RTL10
RTDR1	RSPH14
ADRBK2	GRK3
GATSL3	CASTOR1
SELM	SELENOM
LARGE	LARGE1
H1F0	H1-0
RNU86	SNORD139
MKL1	MRTFA
NHP2L1	SNU13
SEPT3	SEPTIN3
RRP7B	RRP7BP
ATP5L2	ATP5MGL
KIAA1644	SHISAL1
LDOC1L	RTL6
NUP50-AS1	NUP50-DT
GTSE1-AS1	GTSE1-DT
FAM19A5	TAFA5
SELO	SELENOO
CHKB-AS1	CHKB-DT
ITPR1-AS1	ITPR1-DT
CIDECP	CIDECP1
ZFYVE20	RBSN
SGOL1	SGO1
SGOL1-AS1	SGO1-AS1
FAM198A	GASK1A
PRSS46	PRSS46P
PRSS45	PRSS45P
PRSS42	PRSS42P
CELSR3-AS1	LINC02585
BSN-AS2	BSN-DT
FAM212A	INKA1
VPRBP	DCAF1
TMEM110-MUSTN1	STIMATE-MUSTN1
TMEM110	STIMATE
SELK	SELENOK
FAM208A	TASOR
FAM19A1	TAFA1
FAM19A4	TAFA4
LINC01212	SAMMSON
DHFRL1	DHFR2
MINA	RIOX2
TMEM30C	TMEM30CP
TOMM70A	TOMM70
GPR128	ADGRG7
LINC00883	DUBR
KIAA1524	CIP2A
PVRL3-AS1	NECTIN3-AS1
PVRL3	NECTIN3
C3orf17	NEPRO
WDR52	CFAP44
WDR52-AS1	CFAP44-AS1
KIAA2018	USF3
KIAA1407	CCDC191
QTRTD1	QTRT2
C3orf30	TEX55
DIRC2	SLC49A4
PTPLB	HACD2
CCDC37-AS1	CCDC37-DT
CCDC37	CFAP100
TXNRD3NB	TXNRD3
C3orf27	LINC01565
H1FX	H1-10
H1FOO	H1-8
NCK1-AS1	NCK1-DT
C3orf58	DIPK2A
SELT	SELENOT
TMEM14E	TMEM14EP
C3orf55	SLC66A1L
LINC01330	LRRC77P
C3orf65	IGF2BP2-AS1
LEPREL1	P3H2
HRASLS	PLAAT1
C3orf43	SMCO1
NCBP2-AS2	NCBP2AS2
MFI2	MELTF
MFI2-AS1	MELTF-AS1
KIAA0226	RUBCN
ATP5I	ATP5ME
MFSD7	SLC49A3
CTBP1-AS2	CTBP1-DT
WHSC1	NSD2
C4orf6	LINC01587
DEFB131	DEFB131A
GPR125	ADGRA3
KIAA1211	CRACD
LPHN3	ADGRL3
LPHN3-AS1	ADGRL3-AS1
PROL1	OPRPN
IGJ	JCHAIN
C4orf26	ODAPH
SEPT11	SEPTIN11
C4orf22	CFAP299
FAM175A	ABRAXAS1
H2AFZ	H2AZ1
CCDC109B	MCUB
C4orf32	FAM241A
C4orf29	ABHD18
CCRN4L	NOCT
PET112	GATB
DEAR	FBXW7-AS1
DKFZP434I0714	MIR4453HG
KIAA0922	TMEM131L
GUCY1A3	GUCY1A1
GUCY1B3	GUCY1B1
FAM198B	GASK1B
MARCH1	MARCHF1
LINC01207	SMIM31
C4orf27	HPF1
KIAA1430	CFAP97
C5orf55	EXOC3-AS1
KIAA0947	ICE1
PAPD7	TENT4A
CTD-2201E9.1	SEMA5A-AS1
FAM173B	ATPSCKMT
MARCH6	MARCHF6
FAM105A	OTULINL
MARCH11	MARCHF11
FAM134B	RETREG1
LINC01021	PURPL
TARS	TARS1
C5orf42	CPLANE1
FYB	FYB1
SEPP1	SELENOP
C5orf28	TMEM267
SKIV2L2	MTREX
PPAP2A	PLPP1
CTC-436P18.1	SMIM15-AS1
FAM159B	SHISAL2B
ERBB2IP	ERBIN
SMA5	GUSBP15
COL4A3BP	CERT1
PAPD4	TENT2
MIR3607	SNORD138
GPR98	ADGRV1
ANKRD32	SLF1
C5orf27	LINC01554
CTD-2151A2.1	LINC02113
EPB41L4A-AS2	EPB41L4A-DT
AQPEP	LVRN
CTB-118N6.3	SEMA6A-AS1
GRAMD3	GRAMD2B
MARCH3	MARCHF3
KIAA1024L	MINAR2
C5orf56	IRF1-AS1
SEPT8	SEPTIN8
H2AFY	MACROH2A1
C5orf20	DCANP1
FBXL21	FBXL21P
LINC01024	MALINC1
HARS	HARS1
PCDHB17	PCDHB17P
PCDHB18	PCDHB18P
KIAA0141	DELE1
LARS	LARS1
MIR143HG	CARMN
CTB-113P19.1	CLMAT3
CTB-12O2.1	LINC01933
PPP1R2P3	PPP1R2B
CTB-7E3.1	LINC01947
RARS	RARS1
FAM196B	INSYN2B
CTD-2270F17.1	KCNIP1-OT1
HMP19	NSG2
FAM153C	FAM153CP
GMCL1P1	GMCL2
GNB2L1	RACK1
GMDS-AS1	GMDS-DT
C6orf195	LINC01600
CASC14	NBAT1
C6orf229	ARMH2
FAM65B	RIPOR2
LRRC16A	CARMIL1
HIST1H2AA	H2AC1
HIST1H2BA	H2BC1
HIST1H2APS1	H2AC2P
HIST1H1A	H1-1
HIST1H3A	H3C1
HIST1H4A	H4C1
HIST1H4B	H4C2
HIST1H3B	H3C2
HIST1H2AB	H2AC4
HIST1H2BB	H2BC3
HIST1H3C	H3C3
HIST1H1C	H1-2
HIST1H4C	H4C3
HIST1H1T	H1-6
HIST1H2AC	H2AC6
HIST1H1E	H1-4
HIST1H2BD	H2BC5
HIST1H4D	H4C4
HIST1H3D	H3C4
HIST1H2AD	H2AC7
HIST1H4E	H4C5
HIST1H2AE	H2AC8
HIST1H3E	H3C6
HIST1H1D	H1-3
HIST1H4F	H4C6
HIST1H4G	H4C7
HIST1H3F	H3C7
HIST1H2BH	H2BC9
HIST1H3G	H3C8
HIST1H4H	H4C8
HIST1H2BJ	H2BC11
HIST1H2AG	H2AC11
HIST1H2BK	H2BC12
HIST1H4I	H4C9
HIST1H2AH	H2AC12
HIST1H2BL	H2BC13
HIST1H2AI	H2AC13
HIST1H3H	H3C10
HIST1H2AJ	H2AC14
HIST1H2BM	H2BC14
HIST1H4J	H4C11
HIST1H4K	H4C12
HIST1H2AK	H2AC15
HIST1H2BN	H2BC15
HIST1H2AL	H2AC16
HIST1H1B	H1-5
HIST1H3I	H3C11
HIST1H4L	H4C13
HIST1H3J	H3C12
HIST1H2AM	H2AC17
HIST1H2BO	H2BC17
C6orf1	SMIM29
C6orf106	ILRUN
C6orf222	BNIP5
GLTSCR1L	BICRAL
GPR116	ADGRF5
GPR110	ADGRF1
GPR111	ADGRF2
GPR115	ADGRF4
MUT	MMUT
BAI3	ADGRB3
C6orf57	SDHAF4
C6orf147	KHDC1
MB21D1	CGAS
C6orf7	LINC01621
FAM46A	TENT5A
DOPEY1	DOP1A
C6orf164	LINC01590
C6orf165	CFAP206
MANEA-AS1	MANEA-DT
LINC00577	LIN28B-AS1
C6orf203	MTRES1
LACE1	AFG1L
KIAA1919	MFSD4B
WISP3	CCN6
LINC01268	MROCKI
FAM26F	CALHM6
FAM26E	CALHM5
FAM26D	CALHM4
ZUFSP	ZUP1
STL	RNF217-AS1
CTGF	CCN2
TAAR3	TAAR3P
EYA4-AS1	TARID
KIAA1244	ARFGEF3
GPR126	ADGRG6
C6orf211	ARMT1
PARK2	PRKN
T	TBXT
C6orf123	LINC01558
MLLT4-AS1	AFDN-DT
MLLT4	AFDN
HEATR2	DNAAF5
FTSJ2	MRM2
RPA3OS	UMAD1
ISPD	CRPPA
ISPD-AS1	CRPPA-AS1
KLHL7-AS1	KLHL7-DT
NUPL2	NUP42
CLK2P	CLK2P1
DFNA5	GSDME
C7orf71	LINC02860
INMT-FAM188B	INMT-MINDY4
FAM188B	MINDY4
CCDC129	ITPRID1
SEPT7	SEPTIN7
FAM183B	FAM183BP
YAE1D1	YAE1
H2AFV	H2AZ2
SEPT7P2	SEPTIN7P2
C7orf72	SPATA48
GS1-18A18.1	VSTM2A-OT1
SEPT14	SEPTIN14
GBAS	NIPSNAP2
NUPR1L	NUPR2
ZNF727P	ZNF727
ZNF735P	ZNF735
INTS4L2	INTS4P2
WBSCR17	GALNT17
WBSCR22	BUD23
LINC00035	ABHD11-AS1
WBSCR27	METTL27
WBSCR28	TMEM270
WBSCR16	RCC1L
GATSL2	CASTOR2
SRCRB4D	SSC4D
C7orf62	TEX47
C7orf63	CFAP69
MTERF	MTERF1
CCDC132	VPS50
C7orf76	SEM1
SHFM1	SEM1
ACN9	SDHAF3
ATP5J2-PTCD1	ATP5MF-PTCD1
ATP5J2	ATP5MF
GS1-259H13.2	TMEM225B
CYP3A7-CYP3AP1	CYP3A7-CYP3A51P
C7orf43	MAP11
GATS	CASTOR3
UPK3BL	UPK3BL1
C7orf60	BMT2
LINC00998	SMIM30
HYALP1	HYAL6P
C7orf49	CYREN
C7orf73	STMP1
C7orf55-LUC7L2	FMC1-LUC7L2
JHDM1D-AS1	KDM7A-DT
FAM115C	TCAF2
PAXIP1OS	PAXIP1-AS2
HTR5AOS	HTR5A-AS1
C7orf13	LINC01006
DEFB109P1	DEFB109A
FAM183CP	LINC02209
TMEM66	SARAF
PROSC	PLPBP
GPR124	ADGRA2
PPAPDC1B	PLPP5
WHSC1L1	NSD3
C8orf4	TCIM
AGPAT6	GPAT4
MIR486	MIR486-1
C8orf22	PPDPFL
FAM150A	ALKAL1
UG0898H09	NKAIN3-IT1
C8orf46	VXN
TCEB1	ELOC
C8orf59	RBIS
TMEM55A	PIP4P2
FAM92A1	FAM92A
KIAA1429	VIRMA
C8orf69	LINC01298
MTERFD1	MTERF3
HRSP12	RIDA
NACAP1	NACA4P
BAALCOS	BAALC-AS2
KIAA0196	WASHC5
FAM84B	LRATD2
LINC01245	CASC19
WISP1	CCN4
BAI1	ADGRB1
KIAA1875	WDR97
FAM203A	HGH1
SCXB	SCX
WASH1	WASHC1
C9orf66	DOCK8-AS1
KIAA0020	PUM3
PPAPDC2	PLPP6
KIAA1432	RIC1
TMEM261	DMAC1
FAM154A	SAXO1
PTPLAD2	HACD4
C9orf53	CDKN2A-DT
TOPORS-AS1	SMIM27
KIAA1161	MYORG
FAM205B	FAM205BP
DNAJB5-AS1	DNAJB5-DT
LINC00950	TMEM8B
LINC00961	SPAAR
KGFLP2	FGF7P3
FAM27A	FAM27C
KGFLP1	FGF7P6
C9orf135-AS1	C9orf135-DT
TMEM2	CEMIP2
C9orf41	CARNMT1
ZCCHC6	TUT7
IARS	IARS1
C9orf89	CARD19
MIRLET7DHG	LINC02603
HIATL1	MFSD14B
C9orf3	AOPEP
AAED1	PRXL2C
HIATL2	MFSD14C
LOC100499484-C9ORF174	SUGT1P4-STRA6LP-CCDC180
C9orf156	TRMO
MURC	CAVIN4
TMEM246	PGAP4
IKBKAP	ELP1
FAM206A	ABITRAM
PALM2	PALM2AKAP2
PALM2-AKAP2	PALM2AKAP2
AKAP2	PALM2AKAP2
KIAA0368	ECPAS
C9orf84	SHOC1
DFNB31	WHRN
C9orf91	TMEM268
PSMD5-AS1	CUTALP
FAM129B	NIBAN2
C9orf117	CFAP157
C9orf114	SPOUT1
CCBL1	KYAT1
